card_id,customer_id,card_type_id,card_number,expiration_date,credit_limit,current_balance,issue_date
32,13,5,5121-5665-2397-5193,06/26,68200.00,15470.08,2024-08-06T00:00:00
33,13,2,4059-9897-6072-6822,02/27,8200.00,1399.28,2023-10-07T00:00:00
34,13,4,5351-6697-5528-6391,06/28,48100.00,6148.45,2022-05-12T00:00:00
35,14,1,4202-8924-1355-9324,04/28,4700.00,135.37,2023-07-24T00:00:00
36,15,5,3437-0023-8007-5376,12/26,82900.00,12118.35,2022-05-29T00:00:00
37,15,3,3442-3452-5281-3348,06/26,16800.00,1814.45,2023-10-05T00:00:00
38,15,1,6513-7501-4315-3542,12/25,3000.00,1341.52,2022-07-12T00:00:00
39,16,5,5466-2477-7617-0454,03/26,73800.00,12417.55,2023-07-08T00:00:00
40,16,3,3775-0832-3286-0063,02/27,12500.00,864.86,2023-09-09T00:00:00
41,16,4,5229-1075-8918-1843,03/27,33000.00,1978.66,2022-10-12T00:00:00
42,17,5,5237-2503-8223-8766,06/26,67700.00,9362.19,2023-08-01T00:00:00
43,17,3,6440-6413-1010-0132,05/26,13700.00,665.77,2023-12-30T00:00:00
44,17,1,5556-2890-7324-5603,11/27,3600.00,276.64,2024-11-16T00:00:00
45,18,1,5343-5837-4908-3075,11/27,4700.00,568.91,2023-03-12T00:00:00
46,19,1,6011-2264-7273-2391,03/27,3900.00,2329.42,2023-07-17T00:00:00
47,19,5,5526-5351-3398-2438,10/25,90000.00,21513.93,2022-10-02T00:00:00
48,20,2,6011-7843-2462-5573,08/26,4800.00,1423.03,2023-08-13T00:00:00
49,20,4,5503-9103-0665-1648,06/26,28000.00,9265.33,2024-04-03T00:00:00
50,20,3,5317-9419-6297-8193,10/26,10300.00,8340.71,2023-07-24T00:00:00
51,21,3,3714-6023-6058-3399,03/27,15300.00,8239.87,2024-12-01T00:00:00
52,21,4,4102-9837-8209-7092,05/26,43600.00,13189.84,2022-05-26T00:00:00
53,22,5,3419-8541-7794-8905,10/27,88300.00,19580.24,2023-11-01T00:00:00
54,22,4,5335-2888-0062-8045,01/28,27100.00,2445.15,2024-09-09T00:00:00
55,23,3,5406-1032-6367-9225,05/26,15600.00,8615.98,2023-04-05T00:00:00
56,23,4,3402-7660-9125-5361,08/27,48800.00,2130.88,2024-09-14T00:00:00
57,23,1,5444-3500-5806-5513,11/25,1500.00,-661.77,2024-01-25T00:00:00
58,24,2,5472-4951-1060-0117,06/26,7900.00,3719.48,2023-03-13T00:00:00
59,24,1,5303-9056-7235-0210,08/27,1100.00,354.88,2023-03-28T00:00:00
60,25,2,5431-3774-8088-3769,05/26,5100.00,589.43,2023-02-05T00:00:00
61,26,3,5301-4365-7285-8424,08/26,9600.00,8100.01,2023-04-17T00:00:00
62,26,1,6011-5449-0176-8863,09/27,2600.00,295.97,2023-10-06T00:00:00
63,27,2,5120-3119-5986-0572,03/26,8900.00,1974.58,2024-05-30T00:00:00
64,27,5,3481-0498-7239-9049,04/28,98000.00,14011.13,2024-02-17T00:00:00
65,27,3,5574-6202-0749-7137,03/26,12100.00,351.57,2025-01-27T00:00:00
66,28,3,5397-1483-9564-9535,02/26,19700.00,12726.59,2023-08-30T00:00:00
67,28,1,5482-2781-2513-3654,08/27,3800.00,1163.20,2023-11-30T00:00:00
68,28,2,3405-2382-6811-8056,07/26,8600.00,7980.90,2024-12-03T00:00:00
69,29,3,5590-2684-9201-9944,02/28,13500.00,2579.56,2024-09-03T00:00:00
70,29,1,4811-7710-6723-3628,10/26,3500.00,-553.45,2024-02-02T00:00:00
71,29,2,4926-4758-7212-4840,07/27,7300.00,-232.15,2024-12-15T00:00:00
72,30,3,3785-3266-0371-1320,05/26,18100.00,1043.94,2022-10-25T00:00:00
