card_id,customer_id,card_type_id,card_number,expiration_date,credit_limit,current_balance,issue_date
26,10,4,3475-5472-0211-9363,11/25,25700.0,6313.86,2023-01-03
27,10,5,6011-9750-1201-3075,12/26,89000.0,8448.83,2024-06-09
28,11,1,5480-3948-9667-7724,02/27,4900.0,965.16,2023-06-02
29,11,4,6577-6768-9666-9748,12/27,26400.0,3692.58,2025-01-30
30,11,5,6445-7736-2116-3326,12/26,69600.0,19566.07,2023-04-21
31,12,3,5145-3876-0976-3313,06/26,11100.0,779.08,2023-09-15
32,13,5,5121-5665-2397-5193,06/26,68200.0,15282.19,2024-08-06
33,13,2,4059-9897-6072-6822,02/27,8200.0,1232.52,2023-10-07
34,13,4,5351-6697-5528-6391,06/28,48100.0,1925.63,2022-05-12
35,14,1,4202-8924-1355-9324,04/28,4700.0,189.69,2023-07-24
36,15,5,3437-0023-8007-5376,12/26,82900.0,11264.59,2022-05-29
37,15,3,3442-3452-5281-3348,06/26,16800.0,2524.8,2023-10-05
38,15,1,6513-7501-4315-3542,12/25,3000.0,563.55,2022-07-12
39,16,5,5466-2477-7617-0454,03/26,73800.0,12193.02,2023-07-08
40,16,3,3775-0832-3286-0063,02/27,12500.0,537.81,2023-09-09
41,16,4,5229-1075-8918-1843,03/27,33000.0,667.21,2022-10-12
42,17,5,5237-2503-8223-8766,06/26,67700.0,11223.0,2023-08-01
43,17,3,6440-6413-1010-0132,05/26,13700.0,2357.51,2023-12-30
44,17,1,5556-2890-7324-5603,11/27,3600.0,332.34,2024-11-16
45,18,1,5343-5837-4908-3075,11/27,4700.0,1135.08,2023-03-12
46,19,1,6011-2264-7273-2391,03/27,3900.0,961.56,2023-07-17
47,19,5,5526-5351-3398-2438,10/25,90000.0,18181.6,2022-10-02
48,20,2,6011-7843-2462-5573,08/26,5100.0,955.18,2023-08-13
49,20,4,5503-9103-0665-1648,06/26,29500.0,2956.83,2024-04-03
50,20,3,5317-9419-6297-8193,10/26,10800.0,737.44,2023-07-24
51,21,3,3714-6023-6058-3399,03/27,16100.0,4393.37,2024-12-01
52,21,4,4102-9837-8209-7092,05/26,45900.0,13189.84,2022-05-26
53,22,5,3419-8541-7794-8905,10/27,88300.0,19937.19,2023-11-01
54,22,4,5335-2888-0062-8045,01/28,27100.0,1935.82,2024-09-09
55,23,3,5406-1032-6367-9225,05/26,15600.0,2583.06,2023-04-05
56,23,4,3402-7660-9125-5361,08/27,48800.0,3501.52,2024-09-14
57,23,1,5444-3500-5806-5513,11/25,1500.0,211.53,2024-01-25
58,24,2,5472-4951-1060-0117,06/26,8300.0,509.54,2023-03-13
59,24,1,5303-9056-7235-0210,08/27,1200.0,188.25,2023-03-28
60,25,2,5431-3774-8088-3769,05/26,5100.0,392.88,2023-02-05
61,26,3,5301-4365-7285-8424,08/26,10700.0,3060.35,2023-04-17
62,26,1,6011-5449-0176-8863,09/27,2900.0,591.68,2023-10-06
63,27,2,5120-3119-5986-0572,03/26,8900.0,2323.26,2024-05-30
64,27,5,3481-0498-7239-9049,04/28,98000.0,8461.01,2024-02-17
65,27,3,5574-6202-0749-7137,03/26,12100.0,121.1,2025-01-27
66,28,3,5397-1483-9564-9535,02/26,21900.0,5184.86,2023-08-30
67,28,1,5482-2781-2513-3654,08/27,4200.0,1161.54,2023-11-30
68,28,2,3405-2382-6811-8056,07/26,9500.0,2485.11,2024-12-03
69,29,3,5590-2684-9201-9944,02/28,13500.0,1362.08,2024-09-03
70,29,1,4811-7710-6723-3628,10/26,3500.0,151.5,2024-02-02
71,29,2,4926-4758-7212-4840,07/27,7300.0,804.12,2024-12-15
72,30,3,3785-3266-0371-1320,05/26,18100.0,1281.93,2022-10-25
